CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50108964,EL DIABLITO TAQUERIA INC,Manhattan,60,EAST    3 STREET,10003
40424765,FRANCO BAKERY,Bronx,527,EAST  138 STREET,10454
50011784,HALAL RESTAURANT,Brooklyn,1174,FULTON STREET,11216
41006035,OVERLOOK,Manhattan,225,EAST   44 STREET,10017
50088055,ZATAR CAFE & BISTRO,Brooklyn,1201,8 AVENUE,11215
50125971,CIELITO LINDO TABERNA,Queens,8811,ROOSEVELT AVE,11372
50111073,LEVY - FOREST HILLS STADIUM,Queens,1,TENNIS PLACE,11375
50114708,HOUSE OF JOY RESTAURANT,Manhattan,28,PELL STREET,10013
50099018,JIMBOS,Brooklyn,404,COURT STREET,11231
40401422,BROADWAY DIVE,Manhattan,2662,BROADWAY,10025
50125169,Espiga Restaurant & Bar Corp,Brooklyn,4602,AVENUE N,11234
50117768,Lili's Bake Shop,Manhattan,828,7 AVENUE,10019
50100631,CHINA I,Brooklyn,5602,4 AVENUE,11220
50033039,STARBUCKS,Manhattan,1,NEW YORK PLAZA,10004
41197540,DJERDAN,Brooklyn,2283,65 STREET,11204
50104989,New Hing Restaurant,Bronx,1702,GRAND AVENUE,10453
50115134,FAT ANDY'S,Manhattan,230,PARK AVENUE,10169
50091699,OASIS,Brooklyn,168,BEDFORD AVENUE,11249
50106006,787 COFFEE,Manhattan,100,LEXINGTON AVE,10016
50095191,JUICY LUCY BBQ,Staten Island,809,FATHER CAPODANNO BOULEVARD,10305
50065958,BROOKLYN EXCHANGE,Brooklyn,4,METROTECH CTR,11201
50063824,JOE COFFEE COMPANY,Manhattan,185,GREENWICH STREET,10007
50073872,GREEN RECIPES,Queens,147-16,45 AVENUE,11355
50122199,,Bronx,649,ALLERTON AVENUE,10467
50114062,BK LOBSTER FLATBUSH LLC,Brooklyn,589,FLATBUSH AVENUE,11225
40397335,ARIRANG HIBACHI STEAKHOUSE,Brooklyn,8812,4 AVENUE,11209
50081585,OSLO COFFEE ROASTERS,Manhattan,236,WEST   10 STREET,10014
50045379,TENARES RESTAURANT,Bronx,571,EAST  141 STREET,10454
50114353,N/A,Manhattan,158,EAST  116 STREET,10029
50101946,PALENQUE COLOMBIAN FOOD,Brooklyn,298,GRAHAM AVENUE,11211
40741534,TAI PAN BAKERY,Queens,3725,MAIN STREET,11354
50117516,DREAM READY SET GO,Queens,11905,JAMAICA AVE,11418
50124846,,Queens,7611,ROOSEVELT AVE,11372
41659173,B.F. NATIONAL BAKERY,Bronx,3492,JEROME AVENUE,10467
50061192,TINO'S CHEESESTEAKS,Manhattan,171,WEST   23 STREET,10011
40578092,COSTELLO'S CLADDAGH INN,Brooklyn,3042,NOSTRAND AVENUE,11229
50105096,GREGORY'S COFFEE,Manhattan,122,EAST   42 STREET,10168
50107813,QUGALE,Brooklyn,1788,SHEEPSHEAD BAY ROAD,11235
41662314,JUSTINOS PIZZERIA,Staten Island,89,GUYON AVENUE,10306
50103449,SWEET HOSPITALITY GROUP,Brooklyn,262,ASHLAND PLACE,11217
50106484,SINGAS PIZZA,Manhattan,1319,2 AVENUE,10021
50125224,,Queens,7532,BROADWAY,11373
50079582,OBA GRILL,Queens,7035,AUSTIN ST,11375
40366928,RICHMOND COUNTY COUNTRY CLUB,Staten Island,135,FLAGG PLACE,10304
50068253,ICE CREAM HOUSE ON 36,Brooklyn,2,CHURCH AVENUE,11218
50111546,BEATNIC,Manhattan,1,ROCKEFELLER PLAZA,10020
50117314,MCDONALD'S,Manhattan,2379,ADAM CLAYTON POWELL JR BOULEVARD,
50107574,CROFFLE HOUSE,Queens,4017,149TH PL,11354
50033133,TEXAS CHICKEN & BURGERS,Bronx,21,WEST BURNSIDE AVENUE,10453
41251791,LUNA PIZZA,Manhattan,225,PARK ROW,10007
50080857,TACO BELL,Manhattan,1258,LEXINGTON AVENUE,10028
50033665,ABBA BAR AND GRILL,Brooklyn,492,GRAND STREET,11211
50115832,,Brooklyn,245,HARMAN STREET,11237
50123459,F OTTOMANELLI BY THE WATER,Queens,5210,CENTER BLVD,11101
50000310,LA CALENITA BAKERY,Queens,4006,83RD ST,11373
50042805,ITALIANA CREMOSA PIZZERIA & RESTAURANT,Queens,11011,101ST AVE,11419
41236466,DUNKIN,Brooklyn,7519,5 AVENUE,11209
41251337,ATLANTIC DINER,Queens,11116,ATLANTIC AVENUE,11419
50111098,,Brooklyn,7,SKILLMAN STREET,11205
50011935,MANUEL E RESTAURANT,Queens,10328,CORONA AVE,11368
50110595,MUSTARD SEED,Staten Island,572,FOREST AVENUE,10310
40397780,VIRGIL'S BBQ,Manhattan,152,WEST   44 STREET,10036
50116979,CAFE HUGO,Manhattan,523,GREENWICH STREET,10013
50087605,CHARM KAO,Brooklyn,193,SCHERMERHORN STREET,11201
50114038,ROSA MEXICANO,Manhattan,251,EAST   52 STREET,10022
50092491,RED STAR CHINESE FOOD,Manhattan,112,EAST  116 STREET,10029
50113470,DSTRKT COFFEE INC.,Brooklyn,67,DRIGGS AVENUE,11222
50105389,CRAB DU JOUR XPRESS,Manhattan,319,6 AVENUE,10014
41641278,OLD COUNTRY BAGEL,Queens,16226,CROSS BAY BLVD,11414
50069320,TOFU TOFU,Manhattan,96,BOWERY,10013
50091577,THAILICIOUS,Manhattan,71,CLINTON STREET,10002
41693280,MELT SHOP,Manhattan,55,WEST   26 STREET,10010
50072950,SZECHUAN MOUNTAIN HOUSE,Queens,3916,PRINCE ST,11354
41608854,GAL BI MA EUL,Queens,19403,NORTHERN BOULEVARD,11358
50105381,HELENA FUSION RESTAURANT,Queens,8404,37TH AVE,11372
41076471,CHINAR ON THE ISLAND,Staten Island,283,SAND LANE,10305
50108555,BROOKLYN GRANGE,Brooklyn,850,3 AVENUE,11232
50099569,36 CAFE CORP,Brooklyn,1257,36 STREET,11218
50107386,JUICE & DONUT DELIGHT,Brooklyn,9403,CHURCH AVENUE,11212
41442734,THE SACKETT,Brooklyn,661,SACKETT STREET,11217
50112691,,Manhattan,140,1 AVENUE,10009
50079475,SAKURA TOKYO,Brooklyn,604,NOSTRAND AVENUE,11216
50009734,FENG'S GARDEN RESTAURANT CHINESE FOOD TAKE OUT,Queens,8826,PARSONS BLVD,11432
40996589,GENA'S GRILL,Manhattan,210,1 AVENUE,10009
50006474,GOLDEN EAGLE DINER,Bronx,2107,WILLIAMSBRIDGE ROAD,10461
50086442,CROWN SHY,Manhattan,70,PINE STREET,10005
50121299,XENO'S PIZZA,Manhattan,163,EAST   52 STREET,10022
41191438,CHERYL'S GLOBAL SOUL,Brooklyn,236,UNDERHILL AVENUE,11238
50067280,LUCKY RESTAURANT,Queens,4521,PARSONS BLVD,11355
50125028,,Brooklyn,1200,BROADWAY,11221
50108108,,Brooklyn,58,NORTH    3 STREET,11249
50055497,GARDEN CITY CHINESE RESTAURANT,Queens,22401,MERRICK BLVD,11413
50110670,ANYTIME BAR & BILLIARDS,Manhattan,112,WEST   30 STREET,10001
50106504,RANCH JAMAICAN RESTAURANT,Bronx,1165,CASTLE HILL AVENUE,10462
50122191,ALOHA KRAB,Bronx,3917,BAYCHESTER AVENUE,10466
50006345,CAFE 2,Manhattan,11,WEST   53 STREET,10019
50010838,RAINBOW ROOM,Manhattan,30,ROCKEFELLER PLAZA,10112
50118405,,Manhattan,275,BLEECKER STREET,10014
41681629,HEAVY WOODS,Brooklyn,50,WYCKOFF AVENUE,11237
50124503,,Brooklyn,338,KNICKERBOCKER AVENUE,11237
50089589,N' JOY FAMILY CAFE,Brooklyn,2874,CONEY ISLAND AVENUE,11235
50058788,IKINARI STEAK,Manhattan,90,EAST   10 STREET,10003
50066749,GREEN HOUSE 36,Manhattan,341,WEST   36 STREET,10018
50033065,CESTRAS PIZZA III,Bronx,44,WESTCHESTER SQ,10461
50067629,HAVELI CAFE & HOOKAH LOUNGE,Brooklyn,6709,5 AVENUE,11220
41017547,JEREMY'S ALE HOUSE,Manhattan,228,FRONT STREET,10038
41286440,RADEGAST HALL & BIERGARTEN,Brooklyn,113,NORTH    3 STREET,11249
50106895,LIVE LONG JUICE BAR,Queens,13120,MERRICK BLVD,11434
50114495,,Queens,16225,DEPOT RD,11358
50121937,LOST SPIRITS NYC,Manhattan,11,WEST   17 STREET,10011
50043205,SURFISH BISTRO,Brooklyn,550,3 AVENUE,11215
50081955,STAND UP CAFE,Brooklyn,7215,18 AVENUE,11204
50123539,,Brooklyn,3148,FULTON STREET,11208
50099656,LULU DUTCH POT RESTAURANT,Bronx,839,BURKE AVENUE,10467
50105166,SODEXO OPERATIONS LLC,Queens,00,JFK INTERNATINAL AIRPORT,11430
50046108,BAGELS CONVENIENCE STORE,Brooklyn,4113,AVENUE U,11234
41650779,SILK HOOKAH LOUNGE,Queens,19208,NORTHERN BOULEVARD,11358
50115050,KRISPY RICE/ PROPER FOOD,Manhattan,450,WEST   33 STREET,10001
40633087,BABBO RISTORANTE E ENOTECA,Manhattan,110,WAVERLY PLACE,10011
50097255,BIG GAY ICE CREAM,Manhattan,516,COLUMBUS AVENUE,10024
50116945,,Queens,351,SAINT NICHOLAS AVENUE,11385
50044749,DUNKIN,Manhattan,100,CHAMBERS STREET,10007
50010032,AL HORNO LEAN MEXICAN KITCHEN INC,Manhattan,417,WEST   47 STREET,10036
50015826,ASTORIA PIZZA FACTORY,Queens,1946,37TH ST,11105
50116981,HUDSON YARDS TAVERN,Manhattan,360,9 AVENUE,10001
50067685,BLUESTONE LANE,Manhattan,2,EAST   90 STREET,10128
41633095,BAMBOO YA,Queens,9711,QUEENS BLVD,11374
50108788,MAMA DEMARCO-DI FARA INC,Manhattan,196,STANTON STREET,10002
41485123,OUTBACK STEAKHOUSE,Queens,2348,BELL BOULEVARD,11360
50093662,DOMINO'S,Queens,3217,JUNCTION BLVD,11369
50047967,FILAGA,Manhattan,75,9 AVENUE,10011
50014447,NEW ISLAND,Staten Island,27,SEGUINE AVENUE,10309
41486993,BLACK MOUNTAIN,Brooklyn,415,UNION STREET,11231
50087162,AJO & OREGANO RESTAURANT,Bronx,621,CRESCENT AVENUE,10458
41523226,THE LITTLE CHINANTLA RESTAURANT,Queens,9606,43 AVENUE,11368
50064120,ANTOJITOS MEXICANOS DELI,Brooklyn,5914,5 AVENUE,11220
41644000,DEATH AVENUE BAR & GRIL,Manhattan,315,10 AVENUE,10001
41539151,DUNKIN,Brooklyn,2317,RALPH AVENUE,11234
50116518,HANDCRAFT BURGERS & BREW,Manhattan,110,WEST   40 STREET,10018
41689822,PIG AND KHAO,Manhattan,68,CLINTON STREET,10002
50073648,LIONS & TIGERS & SQUARES DETROIT PIZZA,Manhattan,268,WEST   23 STREET,10011
41197352,EL MIRADOR RESTAURANT,Brooklyn,59,CHURCH AVENUE,11218
50087439,ANGELS CAFE,Bronx,743,EAST  187 STREET,10458
50106797,INTERNATIONAL WINGS FACTORY,Manhattan,1762,1 AVENUE,10128
50123130,,Manhattan,532,WEST  145 STREET,10031
50116745,The Atlantic brooklyn,Brooklyn,333,ATLANTIC AVENUE,11201
41678309,SUBWAY,Bronx,2026,BOSTON ROAD,10460
41641722,GOOD FRIENDS RESTAURANT,Brooklyn,9528,AVENUE L,11236
50108567,TEXAS CHICKEN AND BURGERS,Brooklyn,500,CLARKSON AVENUE,11203
50113376,CEVIS LOUISIANA,Queens,9402,JAMAICA AVE,11421
50070808,DOWNEY'S BAR & GRILL,Bronx,5790,MOSHOLU AVENUE,10471
40529203,DRAGON CITY,Bronx,2102,BARTOW AVENUE,10475
50044648,PARKWAY PIZZA,Queens,1905,UTOPIA PKWY,11357
50088490,COCINA MARAVILLA,Bronx,531,EAST  138 STREET,10454
50116751,,Manhattan,20,UNION SQUARE WEST,10003
50111928,,Brooklyn,229,DUFFIELD STREET,11201
50116753,JIMMY'S PIZZERIA,Bronx,1907,STORY AVE,10473
41367337,SUBWAY,Bronx,1646,BRUCKNER BOULEVARD,10473
50057084,DOUGHNUTTERY,Manhattan,1,WEST   58 STREET,10019
50033211,KOMBU,Queens,NKA,LAGUARDIA AIRPORT TERMINAL C,11369
50003553,RANCHO TEQUILERIA,Manhattan,741,9 AVENUE,10019
50125404,COOL WORLD,Brooklyn,905,LORIMER STREET,11222
41636291,NIFOROS CORNER,Queens,3560,11TH ST,11106
50107551,Zazzys,Manhattan,73,GREENWICH AVENUE,10014
50114069,TRISTANO'S PIZZA & RESTAURANT,Brooklyn,532,NEPTUNE AVENUE,11224
50107068,DIMSUM GARDEN EXPRESS,Queens,13655,ROOSEVELT AVE,11354
50082395,LA GUARDIA CAFE,Queens,9702,23RD AVE,11369
50082335,JUICE 101,Queens,9716,101ST AVE,11416
50119043,FLORENCE RESTAURANT & BAR,Queens,4013,82ND ST,11373
50105625,RUMBA BAR & GRILL,Manhattan,185,AVENUE C,10009
41616408,STARBUCKS,Manhattan,180,WEST BROADWAY,10013
41233598,ALACHI MASALA INDIAN RESTAURANT,Manhattan,488,AMSTERDAM AVENUE,10024
40931929,FRANKIE & JOHNNIE'S STEAKHOUSE,Manhattan,32,WEST   37 STREET,10018
50054822,NO.1 WOK,Bronx,260,CYPRESS AVENUE,10454
50074331,KOME WAZA,Manhattan,1275,1 AVENUE,10065
50108558,GEENA'S CUCINA,Queens,3621,REVIEW AVE,11101
50096404,FRIENDSHIP FOODS INC,Queens,13676,39TH AVE,11354
50124408,LAZZARO,Manhattan,520,8 AVENUE,10018
50120823,CASA D' ANGELO,Manhattan,146,MULBERRY STREET,10013
50104566,CASA SUPREME,Manhattan,857,9 AVENUE,10019
40511771,PIZZA PARK,Manhattan,1233,FIRST AVENUE,10065
50118249,JAPANESE LATIN FUSION,Brooklyn,8121,5 AVENUE,11209
50060077,LUNA PIZZERIA,Brooklyn,1115,KINGS HIGHWAY,11229
50057938,JOE'S GARAGE BAR,Queens,4501,23RD AVE,11105
40516509,CAMPUS CENTER CAFETERIA,Staten Island,2800,VICTORY BOULEVARD,10314
41674382,ANGELO BELLINI,Manhattan,224,EAST   53 STREET,10022
50105046,FOR ALL THINGS GOOD,Brooklyn,343,FRANKLIN AVENUE,11238
40989787,NOLBU RESTAURANT,Queens,16425,NORTHERN BOULEVARD,11358
41168098,HORUS CAFE,Manhattan,293,EAST   10 STREET,10009
40392339,ABSOLUTE BAGELS,Manhattan,2788,BROADWAY,10025
50103358,VITALL FUSION,Brooklyn,4705,CHURCH AVENUE,11203
50118673,RIU PLAZA MANHATTAN TIMES SQUARE PARK AVENUE RESTAURANT,Manhattan,145,WEST   47 STREET,10036
50107833,IBAKERY,Brooklyn,2210,86 STREET,11214
50093903,MAMA CAPRI,Brooklyn,247,SMITH STREET,11231
50016699,TU CASA,Queens,10311,QUEENS BLVD,11375
50106788,THE HUMMUS & PITA CO.,Manhattan,215,EAST   86 STREET,10028
50124278,POTLUCK CLUB,Manhattan,133,CHRYSTIE STREET,10002
50077821,HALAL DYNASTY,Queens,17233A,HILLSIDE AVE,11432
40399729,GLORY DELI & GROCERY,Queens,4630,VERNON BOULEVARD,11101
50041229,EL LEMPIRAS RESTAURANT,Brooklyn,3160,FULTON STREET,11208
50073554,SCARPETTA,Manhattan,22,EAST   29 STREET,10016
50104628,,Brooklyn,915,UTICA AVENUE,11203
41485126,OUTBACK STEAKHOUSE,Brooklyn,1475,86 STREET,11228
50086431,KUNG FU TEA,Manhattan,27,WAVERLY PLACE,10003
50080621,ILUSION TAVERN,Queens,10507,NORTHERN BLVD,11368
50089342,REGAL CINEMAS ESSEX CROSSING,Manhattan,129,DELANCEY STREET,10002
50080262,RAJU DRUNK MUNKY,Manhattan,31,CORNELIA STREET,10014
41123415,NURNBERGER BIERHAUS,Staten Island,817,CASTLETON AVENUE,10310
50122765,,Brooklyn,1787,CONEY ISLAND AVENUE,11230
50066417,CHAZZ PALMINTERI ITALIAN RESTAURANT,Manhattan,30,WEST   46 STREET,10036
50073182,MOJITOS RESTAURANT BAR,Queens,8101,NORTHERN BLVD,11372
50011113,FOOD CAVE,Queens,3300,NORTHERN BLVD,11101
50074392,SAN MIGUEL PIZZA,Brooklyn,760,CONEY ISLAND AVENUE,11218
41542304,JUNOON,Manhattan,27,WEST   24 STREET,10010
50058046,MAR MAR RESTAURANT,Staten Island,370,FOREST AVENUE,10301
50080513,BERBER STREET FOOD,Manhattan,35,CARMINE STREET,10014
50123250,VERS,Manhattan,714,9 AVENUE,10019
41562604,KATHY'S GOURMET ITALIAN ICES & ICE CREAM,Brooklyn,422,GREENWOOD AVENUE,11218
50116638,BARRY'S,Manhattan,241,EAST   86 STREET,10028
41611217,"DUNKIN',' BASKIN ROBBINS",Bronx,2702,EAST TREMONT AVENUE,10461
50015841,19 CAFE,Brooklyn,84,MANHATTAN AVENUE,11206
50049768,PEET'S COFFEE,Manhattan,853,BROADWAY,10003
50015564,ST GEORGE TAVERN RESTAURANT & BAR,Manhattan,103,WASHINGTON STREET,10006
50078323,DE MOLE,Brooklyn,2,HOPE STREET,11211
50063825,STUFFED ICE CREAM,Manhattan,139,1 AVENUE,10003
50117836,READY PENNY INN,Queens,3707,73RD ST,11372
40386976,LUPE'S EAST L.A. KITCHEN,Manhattan,110,AVENUE OF THE AMERICAS,10013
50002573,ITAL KITCHEN,Brooklyn,1032,UNION STREET,11225
41719663,UNCLE BOON'S,Manhattan,7,SPRING STREET,10012
41678685,THE BUTCHER'S DAUGHTER,Manhattan,19,KENMARE STREET,10012
41490195,CORNER CAFE,Manhattan,2518,BROADWAY,10025
50070387,EMPANADAS MONUMENTAL,Bronx,752,ALLERTON AVENUE,10467
50113149,LE PAIN QUOTIDIEN,Manhattan,1400,BROADWAY,10018
50071385,RU YI DUMPLING,Brooklyn,5221,FORT HAMILTON PARKWAY,11219
40396548,PUGSLEY PIZZA,Bronx,590,EAST  191 STREET,10458
41181395,DUNKIN',Brooklyn,934,KINGS HIGHWAY,11223
50088239,J.A. JAM DOWN CARIBBEAN RESTAURANT,Brooklyn,5223,AVENUE D,11203
50107953,DOLLAR TACO,Queens,7915,ATLANTIC AVE,11421
41704804,APPLEBEES,Manhattan,509,EAST  117 STREET,10035
50101553,BLACK FOX COFFEE CO,Manhattan,45,EAST   45 STREET,10017
50069337,VOTE FOR PEDRO,Manhattan,226,EAST   53 STREET,10022
41370303,DUNKIN,Queens,23436,MERRICK BOULEVARD,11422
50040894,DUNKIN,Bronx,1888,EASTCHESTER ROAD,10461
50125007,,Queens,19715,JAMAICA AVE,11423
50068334,"CAFFE MARCHIO, VINI E FRITTI",Manhattan,29,EAST   29 STREET,10016
50080015,BOTTE BAR,Queens,2507,BROADWAY,11106
50041058,TACOS TIME SQUARE,Manhattan,134,EAST   27 STREET,10016
50086766,SPICE BOWL,Queens,136-20,38 AVENUE,11354
50106222,EUN HA SOO CATERING,Queens,4017,150TH ST,11354
50122828,NAZS HALAL FOOD,Staten Island,2224,HYLAN BOULEVARD,10306
50050507,JUST SALAD,Manhattan,291,7 AVENUE,10001
50010496,CROWN FRIED CHICKEN,Manhattan,2459,8 AVENUE,10027
50000202,CHUNG CHUN KITCHEN,Brooklyn,338,MYRTLE AVENUE,11205
50117029,,Brooklyn,385,AVENUE X,11223
50118994,KYU,Manhattan,324,LAFAYETTE STREET,10012
50105966,ZAM ZAM GRILL,Queens,7227,37TH AVE,11372
40400641,TOUCH OF DEE'S,Manhattan,657,LENOX AVENUE,10037
41181385,EL DESPERTAR MARLENE,Bronx,849,PROSPECT AVENUE,10459
50077772,CLASSIC CAR CLUB,Manhattan,1,PIER 76,10018
41171542,NATIONAL BAKERY,Bronx,767,ALLERTON AVENUE,10467
50002324,DETOXX BAR,Queens,23416,LINDEN BLVD,11411
50070923,PAPA JOHN'S PIZZA,Bronx,1979,JEROME AVENUE,10453
50108815,ANGELITOS BAKERY,Brooklyn,4003,5 AVENUE,11232
41564000,SOFIA'S LITTLE ITALY,Manhattan,143,MULBERRY STREET,10013
50070740,JORDAN JUICE AND SALAD BAR,Manhattan,4462,BROADWAY,10040
50046480,"DUNKIN',' BASKIN ROBBINS",Manhattan,289,7 AVENUE,10001
50044253,RUFFIAN WINE BAR,Manhattan,125,EAST    7 STREET,10009
50083579,SHAKE SHACK (INNOVATION KITCHEN),Manhattan,225,VARICK STREET,10014
50111778,75 BLUE BAR,Queens,7518,ROOSEVELT AVE,11372
50084763,FLAMING GRILL & SUPREME BUFFET,Staten Island,1501,FOREST AVENUE,10302
41485041,FULTON GRAND,Brooklyn,1011,FULTON STREET,11238
50104936,ALIGN COFFEE,Brooklyn,319,HOOPER STREET,11211
50092368,MICHAELI BAKERY,Manhattan,115,DIVISION STREET,10002
41577295,LECHONERA TROPICAL & GRILL,Manhattan,172,EAST  103 STREET,10029
50102975,BRAVO PIZZA,Staten Island,413,NEW DORP LANE,10306
50001179,XING'S CHEF CHINESE FOOD,Queens,4620B,DITMARS BLVD,11105
50055957,LAO JIE HOT POT,Brooklyn,811,53 STREET,11220
50039979,BAYRIDGE SUSHI,Brooklyn,6914,3 AVENUE,11209
50124000,,Manhattan,1165,BROADWAY,10001
50049572,ASIAN 59,Manhattan,207,EAST   59 STREET,10022
50125761,NEW TEXAS CHICKEN & GRILL,Queens,803,CYPRESS AVENUE,11385
50117580,FAT FOWL,Brooklyn,445,ALBEE SQUARE WEST,11201
41071308,RADIO CITY MUSIC HALL,Manhattan,1260,AVENUE OF THE AMERICAS,10020
50072336,COPAS LOUNGE,Bronx,894,EAST TREMONT AVENUE,10460
41631965,KUNG FU TEA,Brooklyn,1422,AVENUE U,11229
50013843,SICHUAN HOT POT CUISINE,Manhattan,34,PELL STREET,10013
50099853,VIVA VIVA,Queens,3410,30TH AVE,11103
41466918,NUEVO MEXICO MEXICAN RESTAURANT,Brooklyn,489,5 AVENUE,11215
41411808,WENG'S GARDEN,Brooklyn,872,HANCOCK STREET,11233
50103598,SAL'S PIZZERIA,Bronx,3167,BAINBRIDGE AVENUE,10467
41643622,PEPPINOS PIZZA,Bronx,4701,WHITE PLAINS ROAD,10470
50083658,NOODLE BOX,Queens,4315,BELL BLVD,11361
41567826,TURQUOISE KOSHER FISH RESTAURANT,Queens,189-23,UNION TURNPIKE,11366
41396865,LEGENDS 000,Bronx,1,EAST  161 STREET,10451
40720599,PEKING DUCK HOUSE,Manhattan,28,MOTT STREET,10013
50121666,FIORENTINA RESTAURANT,Manhattan,852,8 AVENUE,10019
50100606,CHINA MOON OF KINGS,Brooklyn,1068,RUTLAND ROAD,11212
50117634,JUNKO SUSHI,Queens,3302,BROADWAY,11106
41163474,MIRIAM,Brooklyn,79,5 AVENUE,11217
50099714,BONA CAFE PIZZERIA,Bronx,751,WESTCHESTER AVENUE,10455
50034679,DIVERSE DIM SUM,Queens,133-35,ROOSEVELT AVENUE,11354
50105603,LE PAIN QUOTIDIEN,Manhattan,81,WEST BROADWAY,10007
50078974,CHEN'S EXPRESS KITCHEN,Manhattan,223,EAST   14 STREET,10003
41466316,OLIO E PIU,Manhattan,3,GREENWICH AVENUE,10014
41540508,DUNKIN,Bronx,70,MAJOR DEEGAN EXPRESSWAY,10471
50043523,LUX Lounge,Brooklyn,5918,FORT HAMILTON PARKWAY,11219
41267527,LAST CALL,Queens,8172,LEFFERTS BOULEVARD,11415
41687950,THE PHUNKY ELEPHANT,Staten Island,1271,BAY STREET,10305
41017954,EL PANADERO BAKERY,Manhattan,1380,ST NICHOLAS AVENUE,10033
50070020,TANDIR ROKHAT,Brooklyn,2678,CONEY ISLAND AVENUE,11235
50106475,ARBERIA GRILL AND CAFE,Brooklyn,2325,65 STREET,11204
50076111,OK CANAAN,Queens,4318,MAIN ST,11355
50001004,HING WONG,Brooklyn,7922,5 AVENUE,11209
41709587,PEACHES SHRIMP AND CRAB,Brooklyn,4143,CLIFTON PLACE,
41498197,MACARON CAFE,Manhattan,44,EAST   59 STREET,10022
50108631,SANGS,Brooklyn,154,SCOTT AVENUE,11237
41395424,CITI FIELD STAND 431,Queens,000,126TH & ROOSEVELT AVENUE,
50122615,NEW DOUBLE DRAGON,Manhattan,37,1 AVENUE,10003
50092870,PAPA THAI,Manhattan,2115,FREDERICK DOUGLASS BOULEVARD,
50035344,RADHUNI SWEETS & RESTAURANT,Brooklyn,483,MCDONALD AVENUE,11218
50119479,,Queens,9551,ROOSEVELT AVE,11372
40786914,BOSTON MARKET,Staten Island,1465,FOREST AVENUE,10302
50103804,Paratha Wala,Queens,10309,METROPOLITAN AVE,11375
50068583,RED STAR CHINESE RESTAURANT,Manhattan,2529,ADAM CLAYTON POWELL JR BOULEVARD,
41643671,JING LUNG CHINESE RESTAURANT,Brooklyn,1242,NOSTRAND AVENUE,11225
50109390,OCEAN BAY SEAFOOD RESTUARANT,Queens,8302,QUEENS BLVD,11373
50106486,GUMPTION COFFEE,Manhattan,106,WEST   45 STREET,10036
50110225,TANTRA LOUNGE,Queens,3550,31ST ST,11106
50068727,TARA JAPANESE CUSINIE,Queens,25109,NORTHERN BLVD,11362
50045631,PUEBLA RESTAURANT,Queens,3922,61ST ST,11377
50065367,SENSAKANA,Manhattan,28,WEST   44 STREET,10036
41656934,DINING HALL @ JOHN JAY (MBJ FOOD SERVICES),Manhattan,524,WEST   59 STREET,10019
40845101,AZALEA,Manhattan,224,WEST   51 STREET,10019
50120763,ARTHUR'S TAVERN,Manhattan,57,GROVE STREET,10014
41219793,THE MONKEY ROOM,Manhattan,589,FORT WASHINGTON AVENUE,10033
50036335,JUICE GENERATION,Manhattan,101,MAIDEN LANE,10038
50099465,KURO-OBI,Manhattan,115,DELANCEY STREET,10002
50053689,BURGER KING,Brooklyn,2848,CHURCH AVENUE,11226
50070032,CROWN HEIGHTS MOZZARELLA,Brooklyn,265,TROY AVENUE,11213
50045048,HANAMICHI,Manhattan,28,WEST   32 STREET,10001
50110133,JUICE VILLE,Brooklyn,23,BELMONT AVENUE,11212
50110822,Mario's Pizza,Bronx,80,WEST FORDHAM ROAD,10468
50121563,,Brooklyn,7026,3 AVENUE,11209
50124688,ARISINA PIZZERIA,Brooklyn,2337,BATH AVENUE,11214
50058502,PRET A MANGER,Manhattan,99,PARK AVENUE,10016
41619698,ANEJO,Manhattan,668,10 AVENUE,10036
50102688,CRUZ BAKERY,Manhattan,1045,SAINT NICHOLAS AVENUE,10032
50092074,THE ELGIN,Manhattan,64,WEST   48 STREET,10036
41065858,LURE FISHBAR,Manhattan,142,MERCER STREET,10012
50015185,MARCY & MYRTLE COFFEE BAR,Brooklyn,574,MARCY AVENUE,11206
50046668,AVLI LITTLE GREEK KAFE,Queens,3829,BELL BLVD,11361
50007239,OLD STANLEY'S,Brooklyn,226,WYCKOFF AVENUE,11237
41481394,GRAMERCY GRILL,Manhattan,32,LEXINGTON AVENUE,10010
50117187,APNA PIND,Queens,11816,ROCKAWAY BLVD,11420
50072149,GINO'S PIZZA,Staten Island,1351,FOREST AVENUE,10302
50096031,Los Cuatro Reyes,Queens,14712,45TH AVE,11355
50076132,MARCY & MYRTLE 2 INC.,Brooklyn,101,NORTH   10 STREET,11249
50053401,DELICIAS COLOMBIANAS,Queens,3703,82ND ST,11372
50090983,QUEENS PALACE,Queens,3711,57TH ST,11377
50079684,KRAVE CHICKEN & BURGER,Queens,4035,21ST ST,11101
41623543,HALE & HEARTY SOUP,Manhattan,111,FULTON STREET,10038
50046746,MCDONALD'S,Brooklyn,180,PARKSIDE AVENUE,11226
40393154,AMSTERDAM BILLIARDS,Manhattan,85,4 AVENUE,10003
50001664,OLIVIER,Brooklyn,469-473,4TH AVE,11215
50084779,SUSHI WEN,Staten Island,856,CASTLETON AVENUE,10310
40560935,MUSIC BOX THEATER,Manhattan,239,WEST   45 STREET,10036
41594766,JOJU & JOJU BOWL,Queens,8325,BROADWAY,11373
50034720,IHOP,Brooklyn,2244,CHURCH AVENUE,11226
